57608,97447,70774
73835,86194,11785
77646,15705,22831
78568,12412,63612
10338,71452,33665
56682,84429,25224
53683,63813,86783
86720,25400,78054
90062,13974,12913
20360,92214,77565
1844,21517,50597
98187,56707,78956
53076,82349,59100
53731,18302,58058
6549,68971,93918
29982,30892,45633
75256,61298,16380
4052,1780,90983
90434,24940,40594
31145,99136,93899
29862,81111,9862
6524,7187,91881
45504,32842,73669
16306,8969,90519
61099,63734,9127
55135,53235,20933
26382,6469,20414
8765,29093,24393
26180,72661,63087
73254,53981,87330
22717,55089,38083
26770,80835,39250
5157,70680,9461
47782,89033,273
86025,64840,50818
69427,20336,56511
58174,12008,93492
10344,71703,79952
6148,96779,81704
68638,43966,96397
96582,21142,82702
45579,24020,58506
44045,10967,9781
32470,41407,81130
16556,65398,8122
47408,79294,31036
9650,59299,64348
42466,7997,71391
71002,79981,66931
26111,36491,92911
77799,30991,63416
3631,9936,21362
63371,88537,79365
43889,66978,95702
12538,36969,60925
19819,6353,18377
82059,6127,45231
55591,90180,11915
94145,90723,647
59278,2513,9915
38921,59866,7016
90501,68098,51849
36493,71130,81580
33194,93988,77558
73429,2100,10314
96283,33315,75238
40548,29593,29249
73937,65923,38498
64705,75754,94553
97690,35766,78985
47336,51528,84649
26682,11650,88636
97218,67787,32718
663,30736,80432
47976,77487,73628
57266,6450,25661
28764,17669,26101
1629,5965,5767
45814,88277,96057
97250,13918,38415
48570,39259,5998
76808,66841,4885
85580,22496,79186
52713,61825,33208
12167,38977,78638
16071,33905,59176
4977,14499,11766
72293,22111,5566
32089,35749,1383
99495,10678,6257
86559,61579,14590
20457,85089,4343
59608,91040,99091
65499,17521,46893
2081,75903,94742
19115,73747,75766
43385,64562,20379
90728,60058,12483
30865,79552,71555
82028,91219,99181
13213,14570,17801
51490,70873,87224
80138,19188,84654
66582,97769,20075
38593,44707,86566
2192,78882,95126
43568,24529,91916
43190,35816,65061
16614,62948,58643
30127,81067,68319
58325,6024,17123
37934,49163,58401
76129,5458,67603
116,11115,16789
87716,80111,3826
35157,10520,268
56258,99348,41728
13527,74940,70025
91416,53741,99836
47032,87855,68302
48274,95854,64995
80555,95988,74681
97395,76105,22831
22172,51970,50380
38606,18893,57107
53177,36345,17763
56247,37531,15208
97894,84905,47112
75317,5287,52654
29819,21962,28141
10501,30420,69396
15731,70268,16379
5527,91010,17331
16792,51266,58249
17909,81994,13478
49339,84056,92509
12083,43848,85625
91059,41848,97998
21357,75058,72109
12399,8802,52941
65659,95322,72958
33767,16312,51637
99968,22389,26303
62909,38577,33166
15547,64083,37517
3533,28263,60177
80833,88762,65335
33221,50172,94097
66893,37014,98258
57069,26311,63826
51456,27652,68836
42982,82109,16963
43081,22984,59314
46021,77152,24722
26022,37840,51566
88111,82643,61434
54339,74595,24386
71525,58772,16238
68697,48554,8172
3042,77891,49547
93536,84804,83156
40215,67646,94731
22782,15107,81942
18411,38110,87510
49298,74344,14180
69983,96913,8239
92279,84836,57783
51601,23207,70603
67902,51268,22536
53529,58853,37205
52641,64628,13659
84956,6065,23946
47702,21392,36522
19691,78747,69694
58515,55170,11181
85074,65361,59245
12739,76153,45041
83918,48441,69833
70520,87066,29986
67539,18354,99839
71372,67564,8834
51489,27404,27806
40732,3066,53490
3129,11706,73284
17855,76044,15393
11682,33981,74094
1669,36936,57570
24533,86720,51752
12188,80518,33801
24065,7412,83379
68535,80578,87060
24674,89398,49907
69890,88175,24942
65066,5986,85726
34962,48981,86478
28784,59234,61404
87856,77594,60822
44481,63089,87136
62919,19686,76398
79573,30619,27405
15512,49848,39147
67670,61476,88773
5355,66099,91136
47478,42635,11589
78477,81010,53936
64606,28484,86432
71660,28697,58870
82541,25816,89131
61854,81795,6759
