45,57
67,59
59,59
51,69
27,31
41,12
41,9
60,61
39,53
57,47
23,5
45,67
57,61
27,59
32,5
35,15
43,52
28,25
61,62
16,13
61,65
51,60
53,51
31,22
25,65
23,11
13,21
65,67
21,69
67,62
5,11
17,27
30,7
66,55
39,7
24,15
7,18
20,9
30,5
45,51
47,61
13,22
1,14
21,54
67,57
20,69
9,24
30,1
20,67
20,53
25,59
54,65
5,9
50,51
5,12
59,64
55,65
31,47
32,45
33,34
20,27
25,43
8,5
31,63
21,53
48,51
27,63
39,11
23,3
25,62
47,67
21,60
14,23
53,69
35,8
69,67
21,23
23,66
35,59
14,5
27,11
51,70
33,69
12,63
34,53
25,64
33,23
21,22
44,65
36,61
27,49
25,67
47,56
15,2
29,7
21,13
15,9
40,67
27,52
19,66
41,11
39,2
11,58
27,68
57,65
66,53
11,17
12,25
27,47
31,27
1,10
41,61
6,9
39,57
15,23
37,12
31,68
16,5
46,59
18,53
66,59
66,65
25,7
18,27
22,9
8,9
5,5
49,63
14,47
59,66
45,59
67,27
16,23
37,1
19,69
51,53
39,64
21,65
7,3
53,67
18,33
19,16
21,3
13,11
39,68
37,2
60,65
27,48
50,55
69,62
13,9
28,23
5,25
39,59
36,67
37,7
59,53
22,19
15,54
10,13
12,23
19,13
3,1
17,28
19,29
33,10
41,14
34,9
5,6
31,59
33,25
9,6
22,29
29,41
55,64
11,4
31,69
35,67
23,61
21,19
32,15
24,3
31,64
29,59
35,63
5,14
66,67
19,1
35,22
33,67
26,23
28,51
29,11
59,67
39,61
27,65
10,23
21,63
27,67
25,55
43,59
18,15
40,13
14,59
3,9
37,6
38,1
46,65
53,58
9,18
33,65
31,19
45,68
64,69
40,9
45,61
33,9
29,13
15,1
14,15
24,59
65,56
23,32
15,65
23,68
59,47
1,5
2,15
17,53
42,59
33,59
13,50
11,13
11,10
7,1
41,4
35,55
48,57
53,68
27,55
28,59
27,15
68,65
55,63
17,3
69,51
67,55
39,3
25,63
13,0
69,64
5,3
51,65
33,5
17,19
34,63
5,1
31,5
9,14
35,3
65,59
34,5
31,17
15,55
28,9
18,1
29,51
0,15
36,7
13,1
9,2
15,52
11,63
29,67
1,13
63,64
45,62
17,7
5,2
13,65
5,31
31,12
61,63
21,20
24,7
29,65
27,19
37,17
19,19
27,27
68,57
67,63
27,45
13,67
37,59
53,64
25,19
31,50
6,5
47,68
48,59
56,67
15,59
26,53
57,59
13,64
23,16
32,59
51,52
24,29
36,57
29,24
25,32
19,27
17,20
58,53
38,59
31,7
25,46
31,66
43,53
7,9
35,1
57,57
23,20
33,0
13,69
26,13
49,62
20,13
31,2
6,1
26,1
15,33
39,13
17,59
41,50
45,63
11,5
69,69
19,9
23,15
53,53
57,56
53,57
37,9
23,65
25,33
5,15
43,55
23,55
11,69
33,53
55,31
47,53
29,4
57,60
22,27
65,69
6,11
21,48
15,68
38,9
19,7
23,1
58,63
34,15
43,44
33,52
9,5
11,21
27,29
25,30
22,25
14,11
41,13
29,48
12,3
49,59
25,50
28,69
44,59
61,67
37,55
49,50
20,65
64,67
51,63
41,60
59,54
47,69
1,2
60,57
43,56
23,7
28,63
37,26
26,25
69,63
28,53
11,66
51,58
69,54
23,4
1,1
65,61
30,61
31,23
37,65
48,69
67,56
9,29
17,5
11,19
55,66
58,59
43,49
27,23
57,69
61,69
17,63
16,21
19,58
32,65
33,57
35,2
34,65
38,15
11,61
37,61
33,15
31,67
15,69
12,19
9,10
47,45
13,14
31,8
25,14
15,11
20,17
43,62
63,60
40,61
35,4
23,10
33,13
19,10
19,4
10,21
51,62
19,21
35,13
25,8
63,61
37,67
16,17
44,49
54,69
36,63
13,25
29,23
11,8
21,9
29,64
55,62
14,61
47,63
51,47
49,64
5,13
29,53
21,8
3,15
48,47
19,3
63,59
31,49
47,59
23,63
25,9
13,7
34,61
23,23
9,16
29,31
62,67
51,49
46,49
69,68
55,52
27,13
55,55
21,26
13,8
50,67
37,11
11,15
37,15
57,52
59,56
1,8
65,63
23,17
10,55
51,61
31,53
15,21
35,57
25,49
13,12
11,11
54,53
29,9
17,8
49,53
62,55
27,9
31,61
41,8
10,1
19,57
39,5
41,5
22,69
18,69
21,25
35,12
11,1
17,15
27,18
24,63
13,16
50,53
26,9
57,62
21,14
28,3
11,23
32,61
26,21
25,29
38,63
21,15
31,54
17,12
33,55
8,1
9,11
29,58
57,67
17,24
11,26
47,66
61,57
28,19
25,57
29,55
56,55
33,60
9,13
23,9
25,11
9,12
55,67
9,19
31,15
41,64
16,69
11,68
57,63
27,21
32,55
26,67
65,62
42,69
9,3
42,53
17,67
12,61
57,55
41,63
23,12
19,67
54,59
9,22
31,55
11,25
29,5
19,18
17,36
9,7
45,53
59,45
27,69
19,59
9,8
58,69
35,7
29,21
49,67
1,7
21,6
64,65
31,18
35,58
15,13
23,33
21,17
32,25
25,53
14,19
63,57
52,53
13,4
24,11
1,12
3,4
13,19
60,69
31,1
27,62
41,16
9,20
53,48
2,5
23,25
33,6
47,64
67,65
61,60
12,15
19,11
55,51
14,1
33,61
19,65
21,29
65,55
19,23
32,7
54,55
16,9
31,10
41,54
2,23
34,25
44,51
27,20
53,59
9,21
26,65
10,69
13,13
0,3
11,6
53,61
25,1
35,53
29,16
37,63
18,11
29,14
28,13
19,63
31,31
25,26
47,52
24,19
15,7
37,66
27,2
33,7
26,11
47,55
1,39
35,9
39,1
30,19
12,11
13,20
56,59
56,51
39,9
29,3
47,65
25,21
23,27
23,54
18,9
31,9
65,38
69,66
35,54
3,5
56,69
22,57
30,45
63,47
26,59
29,61
61,58
19,62
34,11
23,13
21,1
24,27
62,61
17,69
43,58
51,66
13,70
28,11
17,25
32,57
49,57
39,6
23,31
17,11
47,54
34,3
37,57
25,13
54,61
49,55
13,15
27,1
44,55
26,29
66,63
43,61
27,61
49,65
13,37
23,69
29,44
52,55
41,57
46,61
16,61
21,61
24,55
23,29
25,5
13,5
63,65
42,63
17,66
17,23
11,64
24,23
10,29
63,41
10,3
51,56
18,5
25,23
29,1
69,61
21,4
21,67
23,6
33,3
41,55
28,31
5,7
9,17
9,25
39,65
24,57
23,22
33,63
16,57
59,63
25,69
21,64
37,3
11,18
41,56
15,57
38,53
19,61
61,53
19,31
31,3
27,60
34,51
39,62
17,68
25,25
21,5
35,14
55,69
52,67
12,67
57,53
19,20
23,21
62,57
31,51
63,63
30,49
11,3
67,68
27,51
57,66
38,69
61,59
27,7
59,61
46,57
62,65
1,11
25,61
27,8
17,29
3,6
43,57
21,11
27,5
53,65
15,17
